source_concept_id,source_uuid,target_concept_id,target_uuid,equivalence,policy_bucket,source_record_examples
45,be374b0e-1691-11df-97a5-7038c432aabf,232,45AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
46,be374cee-1691-11df-97a5-7038c432aabf,1527,46AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
47,be374ed5-1691-11df-97a5-7038c432aabf,12802,47AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
48,be3750b4-1691-11df-97a5-7038c432aabf,12780,48AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
49,be375293-1691-11df-97a5-7038c432aabf,1523,49AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
50,be375477-1691-11df-97a5-7038c432aabf,1521,50AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
51,be375656-1691-11df-97a5-7038c432aabf,12523,51AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
52,be37583d-1691-11df-97a5-7038c432aabf,12302,52AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
53,be375a21-1691-11df-97a5-7038c432aabf,12086,53AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
54,be375c08-1691-11df-97a5-7038c432aabf,3719,54AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
55,be375de7-1691-11df-97a5-7038c432aabf,11668,55AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
56,be375fcf-1691-11df-97a5-7038c432aabf,228,56AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
57,be3761aa-1691-11df-97a5-7038c432aabf,11240,57AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
58,be376391-1691-11df-97a5-7038c432aabf,11032,58AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
59,be376570-1691-11df-97a5-7038c432aabf,10818,59AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
60,be376758-1691-11df-97a5-7038c432aabf,10607,60AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
61,be376937-1691-11df-97a5-7038c432aabf,10403,61AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
62,be376b16-1691-11df-97a5-7038c432aabf,10382,62AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
63,be376cfe-1691-11df-97a5-7038c432aabf,10360,63AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
64,be376eea-1691-11df-97a5-7038c432aabf,10337,64AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
65,be3770cd-1691-11df-97a5-7038c432aabf,10318,65AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
66,be3772b0-1691-11df-97a5-7038c432aabf,10300,66AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
67,be377498-1691-11df-97a5-7038c432aabf,10281,67AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
68,be377677-1691-11df-97a5-7038c432aabf,10260,68AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
69,be37785a-1691-11df-97a5-7038c432aabf,10239,69AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
70,be377a39-1691-11df-97a5-7038c432aabf,10217,70AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
71,be377c1d-1691-11df-97a5-7038c432aabf,9470,71AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
72,be377dfc-1691-11df-97a5-7038c432aabf,9180,72AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
73,be377fd6-1691-11df-97a5-7038c432aabf,8773,73AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
74,be3781ba-1691-11df-97a5-7038c432aabf,8383,74AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
75,be378395-1691-11df-97a5-7038c432aabf,8051,75AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
76,be37857c-1691-11df-97a5-7038c432aabf,7766,76AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
77,be37875b-1691-11df-97a5-7038c432aabf,3317,77AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
78,be37893f-1691-11df-97a5-7038c432aabf,7110,78AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
79,be378b19-1691-11df-97a5-7038c432aabf,6799,79AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
80,be378d01-1691-11df-97a5-7038c432aabf,3313,80AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
81,be378ee0-1691-11df-97a5-7038c432aabf,3311,81AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
82,be3790bf-1691-11df-97a5-7038c432aabf,5868,82AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
83,be37929e-1691-11df-97a5-7038c432aabf,1263,83AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
84,be379486-1691-11df-97a5-7038c432aabf,1258,84AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
85,be37966d-1691-11df-97a5-7038c432aabf,4889,85AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
86,be37984c-1691-11df-97a5-7038c432aabf,1243,86AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
87,be379a30-1691-11df-97a5-7038c432aabf,4409,87AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
88,be379c0f-1691-11df-97a5-7038c432aabf,4402,88AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
89,be379df6-1691-11df-97a5-7038c432aabf,4396,89AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
